character_name,publisher,year
"Tiger Shark","Marvel Comics",1968
Toad,"Marvel Comics",1964
Toxin,"Marvel Comics",2004
Triton,"Marvel Comics",1965
Ultron,"Marvel Comics",1968
"Venom III",Scorpion,1964
Venompool,Deadpool,2011
Vindicator,"Vindicator II",1980
"Violet Parr","Dark Horse Comics",2004
Vixen,"DC Comics",1981
Walrus,"Marvel Comics",1984
"War Machine","Marvel Comics",1979
Warpath,"Thunderbird II",1984
"Winter Soldier","Marvel Comics",2005
"Wonder Girl","DC Comics",1996
"Wonder Woman","DC Comics",1941
Yoda,"George Lucas",1980
